Source,Target,Type,Weight
566,4451,Directed,1
566,1535,Directed,1
566,3325,Directed,1
566,339,Directed,1
566,2696,Directed,1
566,917,Directed,1
566,342,Directed,1
566,2121,Directed,1
566,3892,Directed,1
566,3328,Directed,1
566,928,Directed,1
566,1547,Directed,1
566,3334,Directed,1
566,4461,Directed,1
566,3900,Directed,1
566,936,Directed,1
566,365,Directed,1
566,2716,Directed,1
566,2142,Directed,1
566,4473,Directed,1
566,2719,Directed,1
566,948,Directed,1
566,2721,Directed,1
566,3913,Directed,1
566,3914,Directed,1
566,2725,Directed,1
566,2154,Directed,1
566,2731,Directed,1
566,966,Directed,1
566,394,Directed,1
566,2168,Directed,1
566,4492,Directed,1
566,971,Directed,1
566,3934,Directed,1
566,3355,Directed,1
566,399,Directed,1
566,401,Directed,1
566,2178,Directed,1
566,3363,Directed,1
566,3365,Directed,1
566,2183,Directed,1
566,406,Directed,1
566,3948,Directed,1
566,2187,Directed,1
566,1591,Directed,1
566,414,Directed,1
566,3956,Directed,1
566,2198,Directed,1
566,1605,Directed,1
566,3379,Directed,1
566,3380,Directed,1
566,3382,Directed,1
566,3964,Directed,1
566,2770,Directed,1
566,1609,Directed,1
566,999,Directed,1
566,2207,Directed,1
566,4524,Directed,1
566,1617,Directed,1
566,3976,Directed,1
566,4529,Directed,1
566,3978,Directed,1
566,2781,Directed,1
566,3394,Directed,1
566,2217,Directed,1
566,1621,Directed,1
566,3981,Directed,1
566,1020,Directed,1
566,3983,Directed,1
566,3398,Directed,1
566,3400,Directed,1
566,2800,Directed,1
566,4543,Directed,1
566,3408,Directed,1
566,1030,Directed,1
566,2804,Directed,1
566,2228,Directed,1
566,1637,Directed,1
566,4553,Directed,1
566,1033,Directed,1
566,1640,Directed,1
566,3999,Directed,1
566,2814,Directed,1
